KeyEntry0,Russian,English,German,French,Portuguese,Spanish,Italian,Romanian,Turkish,Polish,Czech,Korean,Chinese,ChineseTraditional,BrazilianPortuguese
KeyEntry1,Открыть левые двери,Open left doors,Linke Türen öffnen,Ouvrir les portes à gauche,Abra as portas esquerdas,Abrir las puertas de la izquierda,Porte aperte a sinistra,Deschidere uși stânga,Sol kapıları aç,Otwórz lewe drzwi,Otevřít levé dveře,좌측 출입문 열림,开启左侧车门,開啟左側車門,Abrir portas da esquerda
KeyEntry2,Вперед,Forward,Vorwärts,Marche avant,Para a frente,Avanzar,Avanti,Înainte,İleri,Na przód,Vpřed,전진,前进,前進,Frente
KeyEntry3,Назад,Reverse,Rückwärts,Marche arrière,Reversor,Marcha atrás,Retromarcia,Înapoi,Geri,Do tyłu,Vzad,후진,后退,後退,Marcha à ré
KeyEntry4,Действие при наведении курсора,Action on hover,"Aktion, beim mit der Maus drüberfahren",Action au survol,Passe a ação,Acción de cursor,Azione al passaggio del mouse,Acționare cursor,Fare ile üstüne geldiğinde aktif,Akcja po najechaniu myszką,Akce kurzoru,마우스 호버링 전환,悬停,懸停,Ação ao passar o mouse
KeyEntry5,Выбрать правые двери,Select right doors,Rechten Türen wählen,Sélectionner les portes de droite,Selecione as portas da direita,Seleccionar las puertas de la derecha,Seleziona le porte di destra,Selectează ușile din dreapta,Sağ kapıları seç,Wybierz prawe drzwi,Zvolit pravé dveře,우측 출입문 선택,选择右侧车门,選擇右側車門,Selecionar portas da direita
KeyEntry6,Выбрать левые двери,Select left doors,Linken Türen wählen,Sélectionner les portes de gauche,Selecione as portas da esquerda,Seleccionar las puertas de la izquierda,Seleziona le porte di sinistra,Selectează ușile din stânga,Sol kapıları seç,Wybierz lewe drzwi,Zvolit levé dveře,좌측 출입문 선택,选择左侧车门,選擇左側車門,Selecionar portas da esquerda
KeyEntry7,Открыть правые двери,Open right doors,Rechte Türen offnen,Ouvrir les portes à gauche,Abra as portas da direita,Abrir las puertas de la derecha,Porte aperte a destra,Deschidere uși dreapta,Sağ kapıları aç,Otwórz prawe drzwi,Otevřít pravé dveře,우측 출입문 열림,开启右侧车门,開啟右側車門,Abrir portas da direita
KeyEntry8,Закрыть двери,Close doors,Türen schließen,Fermer les portes,Feche as portar,Cerrar las puertas,Chiudere le porte,Închidere uși,Kapıları kapat,Zamknij drzwi,Zavřít dveře,출입문 닫힘,车门关闭,車門關閉,Fechar portas
KeyEntry9,Реверс,Reverse,Umdrehen,Marche arrière,Reversor,Marcha atrás,Retromarcia,Înapoi,Geri,Cofanie,Zpáteční rychlost,후진,后退,後退,Marcha à ré
KeyEntry10,Сменить камеру,Change camera,Kamera wechseln,Changer de caméra,Mude a câmera,Cambia la cámara,Cambia la camera,Schimbare cameră,Kamera görüntüsünü değiştir,Zmiana kamery,Změnit kameru,시점 변경,镜头选择,鏡頭選擇,Mudar de câmera
